log2_bs,clat,freq
9,3,1
9,4,1
9,5,1
9,5,1
9,144,1
9,150,1
9,152,1
9,201,1
9,272,1
9,305,1
9,309,1
9,354,1
9,419,1
9,440,1
9,464,1
9,497,1
9,552,1
9,585,1
9,618,1
9,651,1
9,708,1
9,716,1
9,790,2
9,806,2
9,815,6
9,823,8
9,831,32
9,839,66
9,847,107
9,856,203
9,864,283
9,872,587
9,880,908
9,888,1512
9,897,2311
9,905,3473
9,913,4912
9,921,6680
9,929,8888
9,937,11299
9,946,13349
9,954,15138
9,962,16800
9,970,18427
9,978,19368
9,987,19621
9,995,20006
9,1003,19555
9,1011,18948
9,1019,18163
9,1028,17422
9,1036,16676
9,1044,15420
9,1056,28028
9,1073,24813
9,1089,21986
9,1105,19735
9,1122,18025
9,1138,17031
9,1155,16076
9,1171,15164
9,1187,15105
9,1204,14579
9,1220,14221
9,1236,14041
9,1253,13823
9,1269,13004
9,1286,12561
9,1302,11729
9,1318,10767
9,1335,9832
9,1351,8963
9,1368,7976
9,1384,7284
9,1400,6506
9,1417,5884
9,1433,5308
9,1449,4853
9,1466,4455
9,1482,4236
9,1499,3903
9,1515,3774
9,1531,3608
9,1548,3358
9,1564,3268
9,1581,3174
9,1597,3094
9,1613,2918
9,1630,2739
9,1646,2591
9,1662,2401
9,1679,2251
9,1695,2080
9,1712,1894
9,1728,1812
9,1744,1694
9,1761,1472
9,1777,1519
9,1794,1375
9,1810,1216
9,1826,1220
9,1843,1188
9,1859,1158
9,1875,1166
9,1892,1040
9,1908,1023
9,1925,1007
9,1941,949
9,1957,889
9,1974,871
9,1990,817
9,2007,811
9,2023,788
9,2039,718
9,2056,727
9,2072,656
9,2088,683
9,2113,1326
9,2146,1346
9,2179,1251
9,2211,1211
9,2244,1132
9,2277,1052
9,2310,1016
9,2342,1015
9,2375,845
9,2408,746
9,2441,726
9,2473,598
9,2506,482
9,2539,437
9,2572,361
9,2605,328
9,2637,283
9,2670,237
9,2703,208
9,2736,184
9,2768,161
9,2801,148
9,2834,124
9,2867,110
9,2899,88
9,2932,85
9,2965,64
9,2998,80
9,3031,66
9,3063,64
9,3096,64
9,3129,56
9,3162,62
9,3194,43
9,3227,25
9,3260,23
9,3293,39
9,3325,33
9,3358,45
9,3391,35
9,3424,27
9,3457,30
9,3489,28
9,3522,24
9,3555,35
9,3588,28
9,3620,17
9,3653,12
9,3686,23
9,3719,20
9,3751,11
9,3784,6
9,3817,12
9,3850,11
9,3883,6
9,3915,5
9,3948,5
9,3981,11
9,4014,6
9,4046,12
9,4079,10
9,4112,5
9,4145,7
9,4177,7
9,4227,15
9,4292,5
9,4358,16
9,4423,18
9,4489,13
9,4554,14
9,4620,23
9,4685,6
9,4751,19
9,4816,14
9,4882,11
9,4947,18
9,5013,18
9,5079,17
9,5144,17
9,5210,25
9,5275,13
9,5341,17
9,5406,24
9,5472,14
9,5537,20
9,5603,21
9,5668,10
9,5734,8
9,5799,8
9,5865,20
9,5931,7
9,5996,4
9,6062,9
9,6127,9
9,6193,1
9,6258,1
9,6324,8
9,6389,4
9,6455,3
9,6586,5
9,6651,8
9,6717,8
9,6782,3
9,6979,5
9,7045,3
9,7110,4
9,7176,3
9,7241,1
9,7307,7
9,7372,4
9,7503,3
9,7700,1
9,7897,1
9,7962,3
9,8028,2
9,8224,1
9,8290,4
9,8355,1
9,8454,1
9,8585,4
9,8716,11
9,8847,7
9,8978,3
9,9502,3
9,11206,3
9,11862,7
9,12779,7
9,12910,4
9,13041,8
9,15269,7
9,17432,7
9,21626,6
9,21889,1
9,24510,7
9,27918,7
9,31588,7
10,2,1
10,3,1
10,3,1
10,3,1
10,125,1
10,134,1
10,142,1
10,166,1
10,252,1
10,268,1
10,292,1
10,309,1
10,399,1
10,423,1
10,440,1
10,444,1
10,528,1
10,561,1
10,569,1
10,585,1
10,659,1
10,675,1
10,700,1
10,716,1
10,774,1
10,798,1
10,815,3
10,823,9
10,831,18
10,839,30
10,847,62
10,856,174
10,864,317
10,872,572
10,880,899
10,888,1602
10,897,2487
10,905,3767
10,913,5512
10,921,7611
10,929,9797
10,937,12162
10,946,14190
10,954,16606
10,962,18563
10,970,19734
10,978,20657
10,987,21033
10,995,20523
