log2_bs,bw
9,11623
10,23635
11,47056
12,92642
13,174386
14,303837
15,405403
16,417334
9,11651
10,23650
11,47091
12,93232
13,173360
14,303029
15,403627
16,414563
9,11628
10,23626
11,47020
12,93263
13,174511
14,301866
15,403604
16,416824
9,11605
10,23658
11,47096
12,93200
13,174534
14,301507
15,403923
16,418074
9,11628
10,23652
11,47049
12,93238
13,172919
14,303638
15,406243
16,417626
9,11644
10,23675
11,47047
12,93264
13,174515
14,303254
15,402859
16,422343
9,11659
10,23662
11,47046
12,93263
13,174010
14,301882
15,406928
16,416453
9,11667
10,23644
11,47060
12,92700
13,174503
14,304021
15,406030
16,418505
9,11625
10,23647
11,46975
12,93153
13,174646
14,303201
15,404165
16,416446
9,11577
10,23516
11,46766
12,93261
13,174544
14,303662
15,405152
16,418797
9,11622
10,23668
11,47033
12,93182
13,174435
14,303125
15,405287
16,421600
9,11668
10,23625
11,46710
12,93148
13,174227
14,301918
15,402702
16,419262
9,11667
10,23662
11,47053
12,93350
13,174633
14,301712
15,404131
16,421016
9,11653
10,23639
11,47035
12,93275
13,174381
14,304052
15,402205
16,414936
9,11593
10,23518
11,47117
12,93285
13,174519
14,303436
15,406056
16,417769
9,11611
10,23657
11,47028
12,93260
13,174601
14,301484
15,400716
16,418755
