log2_bs,clat,freq
9,2024,1
9,3120,1
9,3472,1
9,3568,1
9,110080,1
9,136192,1
9,144384,1
9,152576,1
9,236544,1
9,264192,1
9,292864,1
9,301056,1
9,354304,1
9,374784,1
9,428032,1
9,456704,1
9,481280,1
9,489472,1
9,552960,1
9,585728,1
9,602112,2
9,692224,1
9,708608,1
9,741376,2
9,782336,1
9,790528,1
9,798720,5
9,806912,4
9,815104,4
9,823296,12
9,831488,20
9,839680,47
9,847872,96
9,856064,194
9,864256,344
9,872448,561
9,880640,947
9,888832,1565
9,897024,2335
9,905216,3551
9,913408,5072
9,921600,7050
9,929792,9262
9,937984,11588
9,946176,13626
9,954368,15575
9,962560,17508
9,970752,18331
9,978944,19416
9,987136,19658
9,995328,19862
9,1003520,19462
9,1011712,18575
9,1019904,17899
9,1028096,16693
9,1036288,16075
9,1044480,14863
9,1056768,27757
9,1073152,24424
9,1089536,21795
9,1105920,19391
9,1122304,17922
9,1138688,16813
9,1155072,15917
9,1171456,15393
9,1187840,15019
9,1204224,14480
9,1220608,14266
9,1236992,14099
9,1253376,13725
9,1269760,13091
9,1286144,12540
9,1302528,11753
9,1318912,10937
9,1335296,9982
9,1351680,8845
9,1368064,8134
9,1384448,7341
9,1400832,6514
9,1417216,5891
9,1433600,5293
9,1449984,4841
9,1466368,4541
9,1482752,4146
9,1499136,3848
9,1515520,3748
9,1531904,3605
9,1548288,3283
9,1564672,3250
9,1581056,3029
9,1597440,2883
9,1613824,2834
9,1630208,2755
9,1646592,2622
9,1662976,2310
9,1679360,2226
9,1695744,2097
9,1712128,1970
9,1728512,1862
9,1744896,1724
9,1761280,1647
9,1777664,1550
9,1794048,1363
9,1810432,1433
9,1826816,1292
9,1843200,1204
9,1859584,1124
9,1875968,1000
9,1892352,1052
9,1908736,970
9,1925120,933
9,1941504,850
9,1957888,790
9,1974272,812
9,1990656,814
9,2007040,770
9,2023424,732
9,2039808,743
9,2056192,676
9,2072576,686
9,2088960,630
9,2113536,1260
9,2146304,1273
9,2179072,1171
9,2211840,1139
9,2244608,1103
9,2277376,1044
9,2310144,930
9,2342912,1000
9,2375680,899
9,2408448,765
9,2441216,685
9,2473984,609
9,2506752,533
9,2539520,429
9,2572288,385
9,2605056,351
9,2637824,326
9,2670592,292
9,2703360,215
9,2736128,199
9,2768896,200
9,2801664,191
9,2834432,133
9,2867200,127
9,2899968,107
9,2932736,97
9,2965504,78
9,2998272,61
9,3031040,65
9,3063808,69
9,3096576,61
9,3129344,55
9,3162112,63
9,3194880,39
9,3227648,54
9,3260416,53
9,3293184,42
9,3325952,39
9,3358720,29
9,3391488,41
9,3424256,31
9,3457024,22
9,3489792,32
9,3522560,22
9,3555328,33
9,3588096,18
9,3620864,33
9,3653632,18
9,3686400,19
9,3719168,19
9,3751936,25
9,3784704,23
9,3817472,22
9,3850240,6
9,3883008,11
9,3915776,5
9,3948544,14
9,3981312,6
9,4014080,10
9,4046848,11
9,4079616,14
9,4112384,12
9,4145152,5
9,4177920,11
9,4227072,18
9,4292608,16
9,4358144,15
9,4423680,12
9,4489216,17
9,4554752,23
9,4620288,13
9,4685824,7
9,4751360,17
9,4816896,11
9,4882432,6
9,4947968,18
9,5013504,15
9,5079040,17
9,5144576,14
9,5210112,22
9,5275648,27
9,5341184,9
9,5406720,15
9,5472256,16
9,5537792,18
9,5603328,8
9,5668864,7
9,5734400,13
9,5799936,12
9,5865472,12
9,5931008,25
9,5996544,17
9,6062080,7
9,6127616,4
9,6193152,7
9,6258688,6
9,6324224,8
9,6389760,9
9,6455296,1
9,6520832,3
9,6586368,4
9,6651904,1
9,6782976,6
9,6848512,7
9,6914048,4
9,7110656,1
9,7176192,3
9,7241728,4
9,7503872,3
9,7569408,1
9,7766016,2
9,7831552,1
9,7897088,1
9,7962624,1
9,8028160,1
9,8454144,7
9,8585216,8
9,8716288,6
9,8847360,2
9,9109504,6
9,9502720,2
9,11337728,1
9,11468800,1
9,12124160,4
9,12255232,3
9,14745600,2
9,15138816,4
9,15269888,2
9,15400960,1
9,16187392,1
9,16318464,6
9,16580608,2
9,19791872,2
9,21626880,2
9,24510464,1
9,25034752,1
9,26869760,2
9,29753344,1
9,30277632,1
9,32112640,2
9,34865152,1
9,35389440,1
9,36962304,17
9,37486592,8
9,40108032,1
9,45350912,1
9,50593792,1
9,55836672,1
9,102236160,1
9,107479040,1
9,112721920,1
9,117964800,1
9,121110528,3
9,122159104,7
10,3568,1
10,3632,1
10,3728,1
10,3856,1
10,134144,1
10,152576,1
10,156672,1
10,162816,1
10,254976,1
10,292864,1
10,301056,2
10,432128,1
10,436224,1
10,444416,1
10,448512,1
10,569344,1
10,577536,1
10,585728,1
10,626688,1
10,700416,1
10,708608,1
10,716800,1
10,757760,1
10,815104,1
10,823296,6
10,831488,16
10,839680,36
10,847872,82
10,856064,124
10,864256,231
10,872448,433
10,880640,876
10,888832,1450
10,897024,2295
10,905216,3513
10,913408,5234
10,921600,7312
10,929792,9664
10,937984,12142
10,946176,14336
10,954368,16467
10,962560,18509
10,970752,19545
10,978944,20807
10,987136,21037
10,995328,20900
10,1003520,20136
10,1011712,19418
10,1019904,17968
10,1028096,17074
10,1036288,15766
10,1044480,14650
10,1056768,25748
10,1073152,22444
10,1089536,20130
10,1105920,17881
10,1122304,16291
10,1138688,15934
10,1155072,14856
10,1171456,14777
10,1187840,14564
10,1204224,14482
10,1220608,14361
10,1236992,14759
10,1253376,14741
10,1269760,14306
10,1286144,14361
10,1302528,13499
10,1318912,12855
10,1335296,11985
10,1351680,10886
10,1368064,9642
10,1384448,8738
10,1400832,7744
10,1417216,6933
10,1433600,6085
10,1449984,5425
10,1466368,5003
10,1482752,4565
10,1499136,4247
10,1515520,4027
10,1531904,3781
10,1548288,3634
10,1564672,3621
10,1581056,3401
10,1597440,3259
10,1613824,3227
10,1630208,2991
10,1646592,2933
10,1662976,2804
10,1679360,2607
10,1695744,2453
10,1712128,2303
10,1728512,2063
10,1744896,1888
10,1761280,1748
10,1777664,1612
10,1794048,1419
10,1810432,1328
10,1826816,1309
10,1843200,1133
10,1859584,1008
10,1875968,1015
10,1892352,963
10,1908736,857
10,1925120,802
10,1941504,754
10,1957888,753
10,1974272,627
10,1990656,615
10,2007040,611
10,2023424,645
10,2039808,530
10,2056192,524
10,2072576,485
10,2088960,414
10,2113536,768
10,2146304,764
10,2179072,604
10,2211840,561
10,2244608,507
10,2277376,473
10,2310144,408
10,2342912,382
10,2375680,313
10,2408448,299
10,2441216,270
10,2473984,211
10,2506752,178
10,2539520,208
10,2572288,194
10,2605056,136
10,2637824,117
10,2670592,105
10,2703360,92
10,2736128,76
10,2768896,63
10,2801664,57
10,2834432,61
10,2867200,53
10,2899968,59
10,2932736,43
10,2965504,30
10,2998272,25
10,3031040,33
10,3063808,18
10,3096576,26
10,3129344,19
10,3162112,22
10,3194880,17
10,3227648,29
10,3260416,10
10,3293184,7
10,3325952,15
10,3358720,14
10,3391488,11
10,3424256,18
10,3457024,13
10,3489792,6
10,3522560,18
10,3555328,10
10,3588096,6
10,3620864,9
10,3653632,8
10,3686400,5
10,3719168,8
10,3751936,11
10,3817472,1
10,3850240,3
10,3883008,10
10,3915776,10
10,3948544,1
10,3981312,4
10,4014080,7
10,4046848,10
10,4112384,1
10,4145152,1
10,4177920,6
10,4227072,11
10,4292608,9
10,4358144,1
10,4489216,8
10,4554752,17
10,4620288,7
10,4685824,6
10,4751360,2
10,4816896,7
10,4882432,6
10,4947968,4
10,5013504,3
10,5079040,2
10,5144576,3
10,5210112,4
10,5275648,1
10,5341184,2
10,5406720,2
10,5472256,7
10,5537792,6
10,5603328,10
10,5668864,7
10,5734400,1
10,5799936,1
10,5865472,4
10,5931008,10
10,5996544,2
10,6258688,2
10,6586368,1
10,6717440,2
10,7045120,2
10,7110656,5
10,7307264,1
10,7372800,3
10,7962624,1
10,8847360,2
10,9502720,2
10,9764864,1
10,9895936,2
10,13697024,3
10,13828096,3
10,13959168,1
10,14090240,3
10,14221312,7
10,14352384,1
10,14483456,1
10,14614528,1
10,14745600,2
10,15007744,6
11,3568,1
11,3728,1
11,4016,1
11,4384,1
11,124416,1
11,140288,1
11,158720,1
11,207872,1
11,242688,1
11,280576,1
11,305152,1
11,342016,1
11,378880,1
11,403456,1
11,432128,1
11,460800,1
11,493568,1
11,528384,1
11,561152,1
11,585728,1
11,626688,1
11,667648,1
11,716800,2
11,765952,1
11,823296,2
11,831488,8
11,839680,14
11,847872,27
11,856064,70
11,864256,127
11,872448,240
11,880640,498
11,888832,903
11,897024,1523
11,905216,2354
11,913408,3743
11,921600,5389
11,929792,7495
11,937984,9864
11,946176,12039
11,954368,14397
11,962560,16517
11,970752,18619
11,978944,19927
11,987136,20629
11,995328,21205
11,1003520,20844
11,1011712,19850
11,1019904,19390
11,1028096,18182
11,1036288,17272
11,1044480,16270
11,1056768,28957
11,1073152,24338
11,1089536,21508
11,1105920,19062
11,1122304,17394
11,1138688,15965
11,1155072,15171
11,1171456,14670
11,1187840,14476
11,1204224,14609
11,1220608,14507
11,1236992,14519
11,1253376,14754
11,1269760,14271
11,1286144,14395
11,1302528,13649
11,1318912,12906
11,1335296,12052
11,1351680,10883
11,1368064,9920
11,1384448,8854
11,1400832,7779
11,1417216,7124
11,1433600,6086
11,1449984,5557
11,1466368,5179
11,1482752,4792
11,1499136,4541
11,1515520,4192
11,1531904,3956
11,1548288,3745
11,1564672,3507
11,1581056,3361
11,1597440,3175
11,1613824,3035
11,1630208,3027
11,1646592,2874
11,1662976,2736
11,1679360,2553
11,1695744,2370
11,1712128,2210
11,1728512,2062
11,1744896,1961
11,1761280,1739
11,1777664,1647
11,1794048,1401
11,1810432,1365
11,1826816,1219
11,1843200,1138
11,1859584,917
11,1875968,961
11,1892352,845
11,1908736,847
11,1925120,728
11,1941504,699
11,1957888,621
11,1974272,623
11,1990656,568
11,2007040,576
11,2023424,500
11,2039808,506
11,2056192,461
11,2072576,447
11,2088960,435
11,2113536,769
11,2146304,649
11,2179072,585
11,2211840,465
11,2244608,398
11,2277376,381
11,2310144,366
11,2342912,307
11,2375680,252
11,2408448,199
11,2441216,192
11,2473984,213
11,2506752,175
11,2539520,168
11,2572288,159
11,2605056,134
11,2637824,100
11,2670592,105
11,2703360,72
11,2736128,81
11,2768896,120
11,2801664,67
11,2834432,77
11,2867200,69
11,2899968,48
11,2932736,53
11,2965504,38
11,2998272,31
11,3031040,42
11,3063808,39
11,3096576,42
11,3129344,54
11,3162112,13
11,3194880,19
11,3227648,23
11,3260416,26
11,3293184,25
11,3325952,35
11,3358720,29
11,3391488,23
11,3424256,21
11,3457024,22
11,3489792,28
11,3522560,25
11,3555328,24
11,3588096,21
11,3620864,26
11,3653632,33
11,3686400,27
11,3719168,23
11,3751936,19
11,3784704,23
11,3817472,13
11,3850240,14
11,3883008,14
11,3915776,11
11,3948544,18
11,3981312,21
11,4014080,19
11,4046848,16
11,4079616,19
11,4112384,13
