,9,10,11,12,13,14,15,16
0,2911,5458,12224,68027,102505,156858,188388,208428
1,2903,5979,13118,69821,109094,157051,187291,214785
2,2907,5435,12950,70322,110105,158445,185628,204465
3,2895,5773,12268,67918,111632,158456,186844,202947
4,2910,5631,13140,70762,126221,156057,185384,204342
5,2908,5452,12207,68321,111104,157300,185008,205800
6,2899,5463,12246,68088,103565,202540,211614,201693
7,2904,5980,13121,65730,125437,203698,187234,204963
8,2916,5928,12218,69121,126212,202971,187260,206558
9,2912,5985,12245,67835,126898,187900,187742,206116
10,2899,5475,12233,65850,126632,201203,188397,202892
11,2911,5794,12233,67913,102513,157152,186163,201639
12,2896,5444,12180,67894,102604,156848,184649,201998
13,2918,5758,12233,66143,125821,203474,186187,203837
14,2925,5977,13116,70258,103302,204227,186376,215056
15,2909,5455,12911,69518,103701,158203,186671,204400
