log2_bs,0.0,1.0,5.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,95.0,99.0,99.5,99.9,99.95,99.99,iops
9,0,1810,2342,2605,2932,3260,3555,3948,4423,5275,6520,8290,10027,13434,14745,18219,19791,25559,5823.690175
10,0,1597,2072,2310,2637,2932,3325,3784,4423,5472,6717,8716,10551,14745,16711,21364,30015,683671,5458.284724
11,0,1433,1695,1826,2056,2375,2834,3391,4145,5079,6258,7897,9502,13172,14876,19791,22151,935329,6112.047992
12,0,995,1122,1204,1302,1384,1449,1515,1597,1695,1810,1990,2146,2605,2932,6258,8093,152043,17006.799773
13,0,1073,1204,1286,1368,1449,1515,1597,1662,1761,1875,2056,2244,2899,3653,10289,13959,1518338,12813.139562
14,0,970,1286,1384,1515,1630,1744,1859,2039,2375,3063,3915,4620,6258,7503,12386,13697,1451229,9803.639879
15,0,1089,1564,1859,2211,2605,3129,3784,4489,5144,5996,7241,8585,11337,12648,16318,18743,1602224,5887.137095
16,0,1449,2539,3424,4816,5931,6979,7962,8978,10027,11206,13172,15007,19005,20578,30277,304087,599785,3256.691444
9,0,1826,2342,2605,2932,3260,3588,3948,4423,5275,6586,8355,10158,13303,14614,17694,19529,23986,5807.139762
10,0,1499,1794,2113,2473,2801,3129,3588,4177,5144,6520,8454,10420,14614,16580,21889,24772,202375,5979.067364
11,0,1335,1515,1744,1974,2244,2670,3194,3948,4882,6062,7766,9371,13172,14614,18219,20316,225443,6559.414686
12,0,790,1056,1171,1286,1368,1449,1515,1597,1695,1810,1990,2146,2605,2965,6127,7372,15138,17455.451485
13,0,1011,1155,1236,1335,1417,1499,1564,1646,1728,1843,2023,2211,2867,3522,9764,11993,1400897,13636.778774
14,0,954,1269,1384,1515,1630,1744,1859,2039,2375,3063,3915,4620,6258,7569,12648,13697,1702887,9815.706143
15,0,1089,1581,1875,2244,2670,3194,3850,4489,5210,5996,7241,8454,11206,12779,16056,18743,1568669,5852.871571
16,0,1302,1712,2965,4489,5734,6848,7831,8847,9895,11206,13172,14876,19005,20578,26083,81264,650117,3356.021466
9,0,1810,2342,2605,2932,3260,3588,3948,4423,5275,6586,8290,10027,13434,14876,17694,19529,23461,5814.039532
10,0,1630,2088,2310,2637,2932,3325,3784,4423,5472,6782,8585,10682,15007,16711,22413,30015,700448,5435.252158
