log2_bs,bw
9,2899
10,5463
11,12246
12,68088
13,103565
14,202540
15,211614
16,201693
9,2911
10,5794
11,12233
12,67913
13,102513
14,157152
15,186163
16,201639
9,2899
10,5475
11,12233
12,65850
13,126632
14,201203
15,188397
16,202892
9,2918
10,5758
11,12233
12,66143
13,125821
14,203474
15,186187
16,203837
9,2911
10,5458
11,12224
12,68027
13,102505
14,156858
15,188388
16,208428
9,2895
10,5773
11,12268
12,67918
13,111632
14,158456
15,186844
16,202947
9,2910
10,5631
11,13140
12,70762
13,126221
14,156057
15,185384
16,204342
9,2909
10,5455
11,12911
12,69518
13,103701
14,158203
15,186671
16,204400
9,2908
10,5452
11,12207
12,68321
13,111104
14,157300
15,185008
16,205800
9,2904
10,5980
11,13121
12,65730
13,125437
14,203698
15,187234
16,204963
9,2896
10,5444
11,12180
12,67894
13,102604
14,156848
15,184649
16,201998
9,2903
10,5979
11,13118
12,69821
13,109094
14,157051
15,187291
16,214785
9,2916
10,5928
11,12218
12,69121
13,126212
14,202971
15,187260
16,206558
9,2912
10,5985
11,12245
12,67835
13,126898
14,187900
15,187742
16,206116
9,2907
10,5435
11,12950
12,70322
13,110105
14,158445
15,185628
16,204465
9,2925
10,5977
11,13116
12,70258
13,103302
14,204227
15,186376
16,215056
