log2_bs,clat,freq
9,2736,1
9,3984,1
9,7968,1
9,9536,1
9,218112,1
9,370688,1
9,423936,1
9,667648,1
9,1155072,1
9,1368064,2
9,1400832,5
9,1417216,5
9,1433600,17
9,1449984,17
9,1466368,32
9,1482752,45
9,1499136,53
9,1515520,61
9,1531904,81
9,1548288,82
9,1564672,95
9,1581056,106
9,1597440,90
9,1613824,99
9,1630208,95
9,1646592,83
9,1662976,93
9,1679360,89
9,1695744,94
9,1712128,90
9,1728512,76
9,1744896,84
9,1761280,79
9,1777664,86
9,1794048,84
9,1810432,72
9,1826816,71
9,1843200,97
9,1859584,78
9,1875968,100
9,1892352,107
9,1908736,100
9,1925120,96
9,1941504,109
9,1957888,133
9,1974272,129
9,1990656,130
9,2007040,149
9,2023424,147
9,2039808,158
9,2056192,156
9,2072576,184
9,2088960,191
9,2113536,419
9,2146304,423
9,2179072,516
9,2211840,568
9,2244608,625
9,2277376,691
9,2310144,762
9,2342912,870
9,2375680,962
9,2408448,975
9,2441216,1063
9,2473984,1117
9,2506752,1175
9,2539520,1238
9,2572288,1332
9,2605056,1408
9,2637824,1418
9,2670592,1547
9,2703360,1605
9,2736128,1588
9,2768896,1659
9,2801664,1763
9,2834432,1746
9,2867200,1779
9,2899968,1759
9,2932736,1771
9,2965504,1852
9,2998272,1944
9,3031040,1800
9,3063808,1911
9,3096576,1852
9,3129344,1888
9,3162112,1907
9,3194880,1803
9,3227648,1834
9,3260416,1863
9,3293184,1823
9,3325952,1746
9,3358720,1739
9,3391488,1807
9,3424256,1698
9,3457024,1711
9,3489792,1723
9,3522560,1618
9,3555328,1678
9,3588096,1689
9,3620864,1596
9,3653632,1585
9,3686400,1524
9,3719168,1438
9,3751936,1521
9,3784704,1469
9,3817472,1532
9,3850240,1421
9,3883008,1450
9,3915776,1400
9,3948544,1345
9,3981312,1333
9,4014080,1284
9,4046848,1255
9,4079616,1298
9,4112384,1217
9,4145152,1242
9,4177920,1179
9,4227072,2299
9,4292608,2081
9,4358144,2112
9,4423680,1979
9,4489216,1779
9,4554752,1814
9,4620288,1698
9,4685824,1559
9,4751360,1521
9,4816896,1352
9,4882432,1334
9,4947968,1320
9,5013504,1305
9,5079040,1225
9,5144576,1164
9,5210112,1135
9,5275648,1068
9,5341184,1086
9,5406720,1042
9,5472256,920
9,5537792,918
9,5603328,843
9,5668864,932
9,5734400,871
9,5799936,858
9,5865472,822
9,5931008,829
9,5996544,798
9,6062080,834
9,6127616,820
9,6193152,799
9,6258688,868
9,6324224,839
9,6389760,817
9,6455296,764
9,6520832,768
9,6586368,771
9,6651904,828
9,6717440,807
9,6782976,825
9,6848512,817
9,6914048,765
9,6979584,782
9,7045120,772
9,7110656,765
9,7176192,750
9,7241728,748
9,7307264,712
9,7372800,696
9,7438336,624
9,7503872,658
9,7569408,575
9,7634944,600
9,7700480,594
9,7766016,581
9,7831552,552
9,7897088,570
9,7962624,542
9,8028160,535
9,8093696,496
9,8159232,463
9,8224768,441
9,8290304,459
9,8355840,448
9,8454144,842
9,8585216,733
9,8716288,763
9,8847360,701
9,8978432,674
9,9109504,626
9,9240576,645
9,9371648,579
9,9502720,548
9,9633792,503
9,9764864,495
9,9895936,498
9,10027008,493
9,10158080,458
9,10289152,449
9,10420224,486
9,10551296,387
9,10682368,428
9,10813440,376
9,10944512,337
9,11075584,364
9,11206656,329
9,11337728,281
9,11468800,300
9,11599872,303
9,11730944,270
9,11862016,246
9,11993088,244
9,12124160,246
9,12255232,228
9,12386304,207
9,12517376,190
9,12648448,176
9,12779520,159
9,12910592,164
9,13041664,151
9,13172736,156
9,13303808,127
9,13434880,103
9,13565952,107
9,13697024,106
9,13828096,91
9,13959168,64
9,14090240,90
9,14221312,85
9,14352384,67
9,14483456,65
9,14614528,81
9,14745600,67
9,14876672,51
9,15007744,55
9,15138816,48
9,15269888,46
9,15400960,54
9,15532032,45
9,15663104,38
9,15794176,33
9,15925248,28
9,16056320,29
9,16187392,36
9,16318464,28
9,16449536,26
9,16580608,13
9,16711680,20
9,16908288,41
9,17170432,24
9,17432576,35
9,17694720,35
9,17956864,12
9,18219008,20
9,18481152,8
9,18743296,14
9,19005440,10
9,19267584,6
9,19529728,14
9,19791872,8
9,20054016,5
9,20316160,6
9,20578304,1
9,20840448,2
9,21364736,3
9,21626880,2
9,22151168,1
9,22413312,1
9,22675456,2
9,22937600,1
9,23199744,1
9,23461888,1
9,23724032,1
9,23986176,1
9,24248320,4
9,24510464,3
9,24772608,1
9,25034752,4
9,25296896,4
9,25559040,3
9,25821184,3
9,26083328,1
9,26607616,2
9,26869760,4
9,27131904,1
9,27656192,1
9,30539776,2
10,3792,1
10,3856,1
10,3984,1
10,4832,1
10,238592,1
10,272384,1
10,284672,1
10,399360,1
10,489472,1
10,528384,1
10,544768,1
10,593920,1
10,733184,1
10,864256,1
10,872448,1
10,1011712,2
10,1056768,1
10,1105920,1
10,1122304,1
10,1187840,1
10,1204224,1
10,1220608,1
10,1253376,2
10,1269760,3
10,1286144,7
10,1302528,7
10,1318912,2
10,1335296,7
10,1351680,20
10,1368064,12
10,1384448,27
10,1400832,58
10,1417216,65
10,1433600,82
10,1449984,120
10,1466368,125
10,1482752,124
10,1499136,157
10,1515520,152
10,1531904,151
10,1548288,152
10,1564672,152
10,1581056,134
10,1597440,156
10,1613824,120
10,1630208,153
10,1646592,135
10,1662976,139
10,1679360,142
10,1695744,145
10,1712128,131
10,1728512,140
10,1744896,144
10,1761280,150
10,1777664,149
10,1794048,160
10,1810432,170
10,1826816,190
10,1843200,174
10,1859584,179
10,1875968,223
10,1892352,213
10,1908736,233
10,1925120,283
10,1941504,274
10,1957888,294
10,1974272,306
10,1990656,296
10,2007040,310
10,2023424,363
10,2039808,362
10,2056192,381
10,2072576,413
10,2088960,458
10,2113536,927
10,2146304,1039
10,2179072,1093
10,2211840,1205
10,2244608,1311
10,2277376,1352
10,2310144,1482
10,2342912,1533
10,2375680,1572
10,2408448,1631
10,2441216,1732
10,2473984,1760
10,2506752,1823
10,2539520,1860
10,2572288,1893
10,2605056,1816
10,2637824,1840
10,2670592,1827
10,2703360,1821
10,2736128,1768
10,2768896,1732
10,2801664,1625
10,2834432,1716
10,2867200,1684
10,2899968,1614
10,2932736,1746
10,2965504,1584
10,2998272,1548
10,3031040,1596
10,3063808,1564
10,3096576,1494
10,3129344,1460
10,3162112,1413
10,3194880,1415
10,3227648,1363
10,3260416,1272
10,3293184,1344
10,3325952,1251
10,3358720,1253
10,3391488,1314
10,3424256,1232
10,3457024,1164
10,3489792,1199
10,3522560,1193
10,3555328,1111
10,3588096,1133
10,3620864,1048
10,3653632,1108
10,3686400,1071
10,3719168,1049
10,3751936,990
10,3784704,988
10,3817472,1000
10,3850240,940
10,3883008,863
10,3915776,903
10,3948544,860
10,3981312,904
10,4014080,874
10,4046848,870
10,4079616,831
10,4112384,795
10,4145152,760
10,4177920,752
10,4227072,1463
10,4292608,1456
10,4358144,1356
10,4423680,1332
10,4489216,1224
10,4554752,1202
10,4620288,1235
10,4685824,1187
10,4751360,1171
10,4816896,1102
10,4882432,982
10,4947968,1034
10,5013504,1012
10,5079040,973
10,5144576,1012
10,5210112,947
10,5275648,917
10,5341184,925
10,5406720,862
10,5472256,864
10,5537792,876
10,5603328,841
10,5668864,862
10,5734400,824
10,5799936,834
10,5865472,814
10,5931008,777
10,5996544,809
10,6062080,786
10,6127616,822
10,6193152,804
10,6258688,780
10,6324224,812
10,6389760,782
10,6455296,804
10,6520832,760
10,6586368,794
10,6651904,768
10,6717440,764
10,6782976,734
10,6848512,727
10,6914048,755
10,6979584,717
10,7045120,707
10,7110656,684
10,7176192,735
10,7241728,665
10,7307264,627
10,7372800,613
10,7438336,559
10,7503872,613
10,7569408,614
10,7634944,563
10,7700480,560
10,7766016,543
10,7831552,531
10,7897088,506
10,7962624,522
10,8028160,506
10,8093696,438
10,8159232,460
10,8224768,458
10,8290304,425
10,8355840,436
10,8454144,859
10,8585216,766
10,8716288,739
10,8847360,728
10,8978432,618
10,9109504,638
10,9240576,607
10,9371648,527
10,9502720,573
10,9633792,580
10,9764864,502
10,9895936,519
10,10027008,463
10,10158080,478
10,10289152,464
10,10420224,477
10,10551296,413
10,10682368,415
10,10813440,383
10,10944512,367
10,11075584,390
10,11206656,317
10,11337728,303
10,11468800,296
10,11599872,280
10,11730944,258
10,11862016,255
10,11993088,234
10,12124160,210
10,12255232,200
10,12386304,177
10,12517376,204
10,12648448,179
10,12779520,175
10,12910592,160
10,13041664,178
10,13172736,179
10,13303808,131
10,13434880,134
10,13565952,117
10,13697024,144
10,13828096,135
10,13959168,94
10,14090240,100
10,14221312,111
10,14352384,92
10,14483456,72
10,14614528,91
10,14745600,84
10,14876672,78
10,15007744,93
10,15138816,69
10,15269888,80
10,15400960,93
10,15532032,66
10,15663104,54
10,15794176,51
10,15925248,63
10,16056320,67
10,16187392,68
10,16318464,49
10,16449536,37
10,16580608,35
10,16711680,33
10,16908288,58
10,17170432,67
10,17432576,42
10,17694720,58
10,17956864,48
10,18219008,49
10,18481152,34
10,18743296,38
10,19005440,32
10,19267584,14
10,19529728,27
10,19791872,31
10,20054016,22
10,20316160,17
10,20578304,28
10,20840448,19
10,21102592,10
10,21364736,9
10,21626880,17
10,21889024,13
10,22151168,4
10,22413312,5
10,22675456,5
10,22937600,5
10,23199744,3
10,23461888,1
10,23724032,2
10,23986176,1
10,24248320,6
10,24510464,6
10,24772608,1
10,25034752,6
10,25296896,3
10,26083328,1
10,26869760,2
10,27131904,1
10,27918336,2
10,28966912,2
10,29229056,3
10,29491200,2
10,30539776,1
10,30801920,2
10,31064064,1
10,31326208,2
10,32112640,1
10,32374784,4
10,32636928,4
10,32899072,2
10,33161216,1
10,33423360,2
10,33816576,2
10,34340864,1
10,34865152,1
10,35389440,2
10,36438016,1
10,39583744,1
10,43253760,3
10,70778880,1
10,71827456,6
10,145752064,7
10,173015040,3
10,175112192,1
10,177209344,3
10,238026752,2
10,240123904,1
10,250609664,1
10,252706816,1
10,291504128,4
10,299892736,2
10,308281344,5
10,312475648,1
10,392167424,2
10,396361728,1
10,400556032,4
10,438304768,1
10,442499072,1
10,446693376,3
10,455081984,1
10,476053504,6
10,480247808,1
10,488636416,4
10,492830720,1
10,513802240,1
10,522190848,2
10,526385152,3
10,566231040,1
10,591396864,1
10,608174080,1
10,616562688,4
10,624951296,1
10,641728512,1
10,658505728,2
10,675282944,1
10,734003200,2
10,742391808,1
10,784334848,2
10,843055104,2
10,926941184,2
10,943718400,1
10,1115684864,2
11,3664,1
11,3824,1
11,3952,1
11,4128,1
11,207872,1
11,211968,1
11,222208,1
11,296960,1
11,460800,1
11,473088,1
11,481280,1
11,514048,1
11,675840,1
11,724992,1
11,798720,1
11,905216,1
11,929792,1
11,962560,1
11,1019904,1
11,1089536,1
11,1105920,1
11,1122304,4
11,1138688,5
11,1155072,1
11,1171456,6
11,1187840,5
11,1204224,2
11,1220608,4
11,1236992,6
11,1253376,11
11,1269760,6
11,1286144,14
11,1302528,22
11,1318912,59
11,1335296,110
11,1351680,141
11,1368064,210
11,1384448,283
11,1400832,325
11,1417216,311
11,1433600,407
11,1449984,318
11,1466368,375
11,1482752,331
11,1499136,354
11,1515520,342
11,1531904,335
11,1548288,386
11,1564672,399
11,1581056,382
11,1597440,470
11,1613824,473
11,1630208,481
11,1646592,544
11,1662976,635
11,1679360,673
11,1695744,735
11,1712128,880
11,1728512,928
11,1744896,978
11,1761280,1027
11,1777664,1098
11,1794048,1176
11,1810432,1310
11,1826816,1263
11,1843200,1297
11,1859584,1299
11,1875968,1484
11,1892352,1493
11,1908736,1411
11,1925120,1505
11,1941504,1493
11,1957888,1479
11,1974272,1447
11,1990656,1403
11,2007040,1401
11,2023424,1371
11,2039808,1360
11,2056192,1325
11,2072576,1219
11,2088960,1221
11,2113536,2397
11,2146304,2269
11,2179072,2097
11,2211840,1915
11,2244608,1782
11,2277376,1679
11,2310144,1517
11,2342912,1488
11,2375680,1438
11,2408448,1376
11,2441216,1402
11,2473984,1364
11,2506752,1320
11,2539520,1309
11,2572288,1271
11,2605056,1274
11,2637824,1292
11,2670592,1269
11,2703360,1249
11,2736128,1224
11,2768896,1199
11,2801664,1248
11,2834432,1259
11,2867200,1165
11,2899968,1230
11,2932736,1164
11,2965504,1157
11,2998272,1164
11,3031040,1204
11,3063808,1145
11,3096576,1054
11,3129344,1111
11,3162112,1041
11,3194880,1122
11,3227648,1027
11,3260416,1016
11,3293184,1047
11,3325952,975
11,3358720,931
11,3391488,894
11,3424256,878
11,3457024,897
11,3489792,850
11,3522560,825
11,3555328,789
11,3588096,810
11,3620864,775
11,3653632,804
11,3686400,824
11,3719168,751
11,3751936,810
11,3784704,800
11,3817472,758
11,3850240,758
11,3883008,747
11,3915776,753
11,3948544,773
11,3981312,800
11,4014080,710
11,4046848,719
11,4079616,666
11,4112384,691
11,4145152,761
11,4177920,737
11,4227072,1450
11,4292608,1374
11,4358144,1395
11,4423680,1346
11,4489216,1324
11,4554752,1304
11,4620288,1292
11,4685824,1224
11,4751360,1113
11,4816896,1247
11,4882432,1106
11,4947968,1123
11,5013504,1083
11,5079040,1105
11,5144576,1187
11,5210112,1173
11,5275648,1097
11,5341184,1159
11,5406720,1201
11,5472256,1130
11,5537792,1064
11,5603328,1031
11,5668864,1046
11,5734400,1010
11,5799936,1064
11,5865472,1003
11,5931008,957
11,5996544,976
11,6062080,893
11,6127616,951
11,6193152,956
11,6258688,888
