log2_bs,clat,freq
9,3,1
9,3,2
9,4,1
9,124,1
9,171,1
9,248,1
9,284,1
9,296,1
9,301,1
9,362,1
9,436,1
9,448,1
9,497,1
9,552,1
9,585,1
9,593,1
9,610,1
9,716,1
9,724,2
9,733,3
9,741,7
9,749,15
9,757,28
9,765,64
9,774,121
9,782,177
9,790,271
9,798,422
9,806,641
9,815,903
9,823,1268
9,831,1717
9,839,2274
9,847,2837
9,856,3659
9,864,4716
9,872,5600
9,880,6793
9,888,7751
9,897,8906
9,905,9787
9,913,10441
9,921,11154
9,929,11505
9,937,11783
9,946,11806
9,954,11768
9,962,11469
9,970,11606
9,978,11198
9,987,11015
9,995,10530
9,1003,10255
9,1011,9793
9,1019,9266
9,1028,8917
9,1036,8554
9,1044,8114
9,1056,15140
9,1073,13594
9,1089,12102
9,1105,11004
9,1122,9788
9,1138,9120
9,1155,8249
9,1171,7477
9,1187,6736
9,1204,6358
9,1220,5757
9,1236,5441
9,1253,5081
9,1269,5009
9,1286,4423
9,1302,4354
9,1318,4099
9,1335,3855
9,1351,3743
9,1368,3539
9,1384,3372
9,1400,3211
9,1417,3157
9,1433,3022
9,1449,2857
9,1466,2798
9,1482,2623
9,1499,2659
9,1515,2603
9,1531,2357
9,1548,2314
9,1564,2313
9,1581,2208
9,1597,2145
9,1613,2071
9,1630,1915
9,1646,1906
9,1662,1900
9,1679,1947
9,1695,1829
9,1712,1770
9,1728,1713
9,1744,1616
9,1761,1618
9,1777,1607
9,1794,1642
9,1810,1523
9,1826,1491
9,1843,1442
9,1859,1364
9,1875,1396
9,1892,1350
9,1908,1327
9,1925,1320
9,1941,1229
9,1957,1196
9,1974,1232
9,1990,1196
9,2007,1143
9,2023,1163
9,2039,1163
9,2056,1082
9,2072,1078
9,2088,1086
9,2113,2151
9,2146,1995
9,2179,1926
9,2211,1909
9,2244,1846
9,2277,1766
9,2310,1760
9,2342,1677
9,2375,1590
9,2408,1541
9,2441,1547
9,2473,1456
9,2506,1456
9,2539,1381
9,2572,1383
9,2605,1292
9,2637,1222
9,2670,1263
9,2703,1153
9,2736,1105
9,2768,1090
9,2801,1148
9,2834,964
9,2867,971
9,2899,948
9,2932,861
9,2965,866
9,2998,843
9,3031,811
9,3063,817
9,3096,785
9,3129,740
9,3162,728
9,3194,727
9,3227,748
9,3260,691
9,3293,661
9,3325,671
9,3358,616
9,3391,597
9,3424,577
9,3457,598
9,3489,584
9,3522,533
9,3555,486
9,3588,515
9,3620,468
9,3653,466
9,3686,470
9,3719,449
9,3751,381
9,3784,408
9,3817,405
9,3850,414
9,3883,408
9,3915,393
9,3948,380
9,3981,364
9,4014,356
9,4046,346
9,4079,335
9,4112,320
9,4145,342
9,4177,306
9,4227,631
9,4292,635
9,4358,590
9,4423,533
9,4489,562
9,4554,457
9,4620,522
9,4685,469
9,4751,463
9,4816,443
9,4882,462
9,4947,419
9,5013,358
9,5079,405
9,5144,368
9,5210,376
9,5275,352
9,5341,336
9,5406,348
9,5472,316
9,5537,353
9,5603,343
9,5668,322
9,5734,285
9,5799,303
9,5865,300
9,5931,283
9,5996,262
9,6062,233
9,6127,252
9,6193,256
9,6258,224
9,6324,249
9,6389,230
9,6455,225
9,6520,227
9,6586,199
9,6651,205
9,6717,189
9,6782,190
9,6848,207
9,6914,195
9,6979,177
9,7045,166
9,7110,167
9,7176,193
9,7241,153
9,7307,154
9,7372,155
9,7438,145
9,7503,158
9,7569,138
9,7634,142
9,7700,132
9,7766,135
9,7831,136
9,7897,121
9,7962,127
9,8028,125
9,8093,124
9,8159,128
9,8224,116
9,8290,117
9,8355,134
9,8454,224
9,8585,229
9,8716,211
9,8847,173
9,8978,186
9,9109,175
9,9240,183
9,9371,179
9,9502,143
9,9633,150
9,9764,134
9,9895,121
9,10027,117
9,10158,113
9,10289,97
9,10420,85
9,10551,96
9,10682,89
9,10813,82
9,10944,84
9,11075,68
9,11206,57
9,11337,69
9,11468,54
9,11599,71
9,11730,60
9,11862,49
9,11993,45
9,12124,49
9,12255,37
9,12386,44
9,12517,39
9,12648,33
9,12779,26
9,12910,45
9,13041,42
9,13172,29
9,13303,27
9,13434,30
9,13565,24
9,13697,16
9,13828,21
9,13959,21
9,14090,26
9,14221,24
9,14352,22
9,14483,16
9,14614,8
9,14745,14
9,14876,13
9,15007,10
9,15138,15
9,15269,7
9,15400,10
9,15532,13
9,15663,8
9,15794,7
9,15925,10
9,16056,1
9,16187,8
9,16318,11
9,16449,12
9,16580,6
9,16711,6
9,16908,7
9,17170,14
9,17432,8
9,17694,8
9,17956,7
9,18219,6
9,18481,5
9,18743,4
9,19005,6
9,19267,4
9,19529,7
9,19791,7
9,20054,2
9,20316,3
9,20578,5
9,20840,1
9,21102,3
9,21364,2
9,21626,1
9,21889,1
9,22675,1
9,22937,1
10,2,1
10,3,1
10,3,1
10,4,1
10,127,1
10,128,1
10,132,1
10,134,1
10,254,1
10,259,1
10,272,1
10,276,1
10,370,1
10,395,1
10,411,1
10,419,1
10,505,1
10,514,1
10,552,2
10,618,1
10,643,1
10,684,2
10,733,3
10,741,3
10,749,7
10,757,22
10,765,39
10,774,64
10,782,182
10,790,345
10,798,595
10,806,960
10,815,1536
10,823,2407
10,831,3674
10,839,5166
10,847,7199
10,856,9704
10,864,12267
10,872,15372
10,880,18416
10,888,21243
10,897,23398
10,905,25032
10,913,26289
10,921,27557
10,929,27274
10,937,26655
10,946,25823
10,954,24950
10,962,23370
10,970,22152
10,978,20174
10,987,18876
10,995,17324
10,1003,16003
