log2_bs,bw
9,9913
10,19272
11,46438
12,88371
13,167711
14,307896
15,409334
16,416359
9,9868
10,19296
11,46330
12,88844
13,166949
14,304714
15,407343
16,417029
9,9757
10,19212
11,46106
12,88959
13,167406
14,306995
15,406324
16,416726
9,9064
10,24655
11,42641
12,87718
13,165735
14,304582
15,407362
16,420485
9,9889
10,19135
11,46564
12,88425
13,167797
14,305176
15,407857
16,419124
9,9048
10,24677
11,42719
12,88001
13,166050
14,306405
15,406500
16,420222
9,9737
10,19667
11,46412
12,88263
13,167917
14,307463
15,406291
16,419685
9,9825
10,19176
11,46234
12,88465
13,167706
14,306456
15,410133
16,418853
9,8913
10,24509
11,42551
12,88142
13,167196
14,307225
15,406892
16,419375
9,8980
10,24398
11,42429
12,88163
13,165869
14,308077
15,408885
16,414226
9,9155
10,24592
11,42630
12,88280
13,167333
14,308641
15,406452
16,419405
9,9187
10,24580
11,42863
12,87869
13,166408
14,306732
15,409281
16,419527
9,10041
10,19389
11,46225
12,88468
13,166141
14,305095
15,407304
16,415339
9,8874
10,24609
11,42644
12,87824
13,166486
14,307018
15,407916
16,417287
9,9739
10,19309
11,46447
12,88466
13,167705
14,306976
15,406788
16,421389
9,9237
10,24352
11,42426
12,87800
13,166826
14,307078
15,410889
16,417720
