log2_bs,clat,freq
9,3856,1
9,4128,1
9,4384,1
9,5216,1
9,132096,1
9,140288,1
9,203776,1
9,218112,1
9,254976,1
9,257024,1
9,387072,1
9,391168,1
9,415744,1
9,419840,1
9,505856,1
9,518144,1
9,634880,2
9,643072,1
9,651264,1
9,733184,1
9,741376,4
9,749568,14
9,757760,28
9,765952,45
9,774144,88
9,782336,136
9,790528,259
9,798720,411
9,806912,665
9,815104,851
9,823296,1297
9,831488,1697
9,839680,2295
9,847872,3154
9,856064,4098
9,864256,5186
9,872448,6678
9,880640,8045
9,888832,9489
9,897024,10638
9,905216,11522
9,913408,12413
9,921600,13029
9,929792,13354
9,937984,14197
9,946176,14027
9,954368,14260
9,962560,13929
9,970752,13604
9,978944,13140
9,987136,12766
9,995328,12202
9,1003520,11802
9,1011712,11161
9,1019904,10677
9,1028096,10237
9,1036288,9673
9,1044480,9311
9,1056768,17364
9,1073152,15687
9,1089536,13930
9,1105920,12759
9,1122304,11656
9,1138688,10557
9,1155072,9634
9,1171456,8898
9,1187840,8216
9,1204224,7529
9,1220608,6948
9,1236992,6711
9,1253376,6164
9,1269760,5759
9,1286144,5440
9,1302528,5198
9,1318912,4753
9,1335296,4729
9,1351680,4193
9,1368064,4119
9,1384448,3883
9,1400832,3679
9,1417216,3371
9,1433600,3228
9,1449984,2959
9,1466368,2768
9,1482752,2642
9,1499136,2483
9,1515520,2421
9,1531904,2298
9,1548288,2261
9,1564672,2270
9,1581056,2081
9,1597440,1957
9,1613824,1939
9,1630208,1844
9,1646592,1749
9,1662976,1760
9,1679360,1683
9,1695744,1620
9,1712128,1571
9,1728512,1527
9,1744896,1542
9,1761280,1450
9,1777664,1487
9,1794048,1411
9,1810432,1402
9,1826816,1321
9,1843200,1259
9,1859584,1275
9,1875968,1156
9,1892352,1270
9,1908736,1213
9,1925120,1188
9,1941504,1118
9,1957888,1111
9,1974272,1044
9,1990656,1072
9,2007040,1128
9,2023424,1069
9,2039808,993
9,2056192,1050
9,2072576,1001
9,2088960,1016
9,2113536,1976
9,2146304,1842
9,2179072,1714
9,2211840,1646
9,2244608,1680
9,2277376,1637
9,2310144,1639
9,2342912,1545
9,2375680,1412
9,2408448,1461
9,2441216,1414
9,2473984,1405
9,2506752,1287
9,2539520,1256
9,2572288,1233
9,2605056,1183
9,2637824,1095
9,2670592,1189
9,2703360,1151
9,2736128,1109
