log2_bs,clat,freq
9,3,1
9,3,1
9,3,1
9,3,1
9,83,1
9,92,1
9,146,1
9,158,1
9,187,1
9,197,1
9,238,1
9,317,1
9,325,1
9,358,1
9,387,1
9,419,1
9,423,2
9,428,3
9,432,2
9,436,8
9,440,13
9,444,10
9,448,23
9,452,23
9,456,41
9,460,58
9,464,60
9,468,86
9,473,95
9,477,136
9,481,168
9,485,151
9,489,165
9,493,188
9,497,200
9,501,223
9,505,189
9,509,226
9,514,229
9,518,249
9,522,230
9,528,462
9,536,411
9,544,389
9,552,363
9,561,379
9,569,336
9,577,327
9,585,339
9,593,321
9,602,341
9,610,347
9,618,365
9,626,414
9,634,475
9,643,517
9,651,603
9,659,657
9,667,672
9,675,654
9,684,790
9,692,890
9,700,1019
9,708,1033
9,716,1141
9,724,1056
9,733,1137
9,741,1123
9,749,1067
9,757,1105
9,765,978
9,774,982
9,782,977
9,790,881
9,798,839
9,806,779
9,815,765
9,823,654
9,831,642
9,839,596
9,847,525
9,856,500
9,864,521
9,872,518
9,880,539
9,888,488
9,897,487
9,905,494
9,913,486
9,921,445
9,929,515
9,937,491
9,946,525
9,954,557
9,962,568
9,970,541
9,978,606
9,987,559
9,995,614
9,1003,631
9,1011,574
9,1019,652
9,1028,648
9,1036,608
9,1044,588
9,1056,1089
9,1073,1067
9,1089,1057
9,1105,1061
9,1122,1086
9,1138,1033
9,1155,973
9,1171,1087
9,1187,995
9,1204,969
9,1220,865
9,1236,952
9,1253,946
9,1269,905
9,1286,913
9,1302,949
9,1318,904
9,1335,952
9,1351,907
9,1368,911
9,1384,940
9,1400,871
9,1417,883
9,1433,893
9,1449,874
9,1466,857
9,1482,828
9,1499,830
9,1515,788
9,1531,793
9,1548,719
9,1564,745
9,1581,732
9,1597,661
9,1613,727
9,1630,769
9,1646,690
9,1662,706
9,1679,681
9,1695,697
9,1712,704
9,1728,679
9,1744,671
9,1761,727
9,1777,677
9,1794,713
9,1810,711
9,1826,700
9,1843,658
9,1859,663
9,1875,686
9,1892,629
9,1908,623
9,1925,671
9,1941,704
9,1957,706
9,1974,647
9,1990,686
9,2007,721
9,2023,684
9,2039,698
9,2056,638
9,2072,720
9,2088,711
9,2113,1415
9,2146,1324
9,2179,1380
9,2211,1484
9,2244,1377
9,2277,1446
9,2310,1442
9,2342,1461
9,2375,1487
9,2408,1532
9,2441,1539
9,2473,1593
9,2506,1562
9,2539,1556
9,2572,1604
9,2605,1613
9,2637,1482
9,2670,1589
9,2703,1564
9,2736,1599
9,2768,1460
9,2801,1508
9,2834,1552
9,2867,1494
9,2899,1491
9,2932,1480
9,2965,1485
9,2998,1492
9,3031,1489
9,3063,1524
9,3096,1538
9,3129,1450
9,3162,1426
9,3194,1412
9,3227,1377
9,3260,1373
9,3293,1331
9,3325,1346
9,3358,1289
9,3391,1307
9,3424,1252
9,3457,1252
9,3489,1201
9,3522,1220
9,3555,1187
9,3588,1049
9,3620,1054
9,3653,1016
9,3686,1028
9,3719,964
9,3751,944
9,3784,1024
9,3817,937
9,3850,861
9,3883,822
9,3915,789
9,3948,795
9,3981,791
9,4014,754
9,4046,695
9,4079,715
9,4112,695
9,4145,694
9,4177,712
9,4227,1275
9,4292,1172
9,4358,1241
9,4423,1104
9,4489,1117
9,4554,1105
9,4620,942
9,4685,956
9,4751,947
9,4816,846
9,4882,768
9,4947,808
9,5013,761
9,5079,721
9,5144,734
9,5210,689
9,5275,672
9,5341,660
9,5406,627
9,5472,610
9,5537,602
9,5603,572
9,5668,510
9,5734,508
9,5799,466
9,5865,475
9,5931,451
9,5996,410
9,6062,401
9,6127,395
9,6193,380
9,6258,360
9,6324,366
9,6389,345
9,6455,313
9,6520,302
9,6586,306
9,6651,278
9,6717,278
9,6782,268
9,6848,248
9,6914,245
9,6979,235
9,7045,215
9,7110,202
9,7176,198
9,7241,187
9,7307,186
9,7372,178
9,7438,193
9,7503,151
9,7569,183
9,7634,153
9,7700,120
9,7766,141
9,7831,103
9,7897,109
9,7962,117
9,8028,108
9,8093,96
9,8159,95
9,8224,95
9,8290,96
9,8355,109
9,8454,167
9,8585,147
9,8716,154
9,8847,128
9,8978,115
9,9109,107
9,9240,104
9,9371,90
9,9502,73
9,9633,71
9,9764,83
9,9895,57
9,10027,67
9,10158,61
9,10289,73
9,10420,50
9,10551,41
9,10682,37
9,10813,35
9,10944,28
9,11075,42
9,11206,26
9,11337,39
9,11468,35
9,11599,36
9,11730,31
9,11862,37
9,11993,24
9,12124,26
9,12255,28
9,12386,37
9,12517,38
9,12648,33
9,12779,22
9,12910,19
9,13041,27
9,13172,28
9,13303,22
9,13434,26
9,13565,17
9,13697,21
9,13828,19
9,13959,19
9,14090,27
9,14221,16
9,14352,16
9,14483,18
9,14614,25
9,14745,17
9,14876,29
9,15007,18
9,15138,28
9,15269,29
9,15400,19
9,15532,35
9,15663,19
9,15794,19
9,15925,19
9,16056,16
9,16187,19
9,16318,19
9,16449,17
9,16580,19
9,16711,20
9,16908,38
9,17170,26
9,17432,34
9,17694,30
9,17956,33
9,18219,41
9,18481,31
9,18743,33
9,19005,37
9,19267,28
9,19529,39
9,19791,31
9,20054,21
9,20316,27
9,20578,24
9,20840,28
9,21102,33
9,21364,32
9,21626,21
9,21889,25
9,22151,34
9,22413,28
9,22675,18
9,22937,28
9,23199,19
9,23461,19
9,23724,9
9,23986,12
9,24248,16
9,24510,15
9,24772,10
9,25034,21
9,25296,20
9,25559,14
9,25821,11
9,26083,12
9,26345,15
9,26607,15
9,26869,21
9,27131,12
9,27394,8
9,27656,7
9,27918,7
9,28180,9
9,28442,13
9,28704,15
9,28966,2
9,29229,10
9,29491,9
9,29753,16
9,30015,7
9,30277,13
9,30539,7
9,30801,10
9,31064,14
9,31326,15
9,31588,7
9,31850,12
9,32112,14
9,32374,7
9,32636,5
9,32899,8
9,33161,9
9,33423,13
9,33816,18
9,34340,16
9,34865,21
9,35389,12
9,35913,26
9,36438,10
9,36962,21
9,37486,15
9,38010,14
9,38535,13
9,39059,13
9,39583,18
9,40108,20
9,40632,14
9,41156,14
9,41680,21
9,42205,20
9,42729,25
9,43253,20
9,43778,19
9,44302,14
9,44826,24
9,45350,25
9,45875,22
9,46399,17
