log2_bs,bw
9,3117
10,13983
11,25784
12,108123
13,196915
14,285857
15,317001
16,333307
9,3520
10,14029
11,25851
12,106726
13,195331
14,284011
15,318304
16,333300
9,3402
10,14090
11,25708
12,110195
13,195481
14,282474
15,312125
16,330674
9,3555
10,14071
11,25817
12,110562
13,196977
14,282600
15,311849
16,331182
9,3393
10,14047
11,25925
12,110716
13,196094
14,280156
15,310704
16,332884
9,3332
10,13993
11,25859
12,109683
13,197217
14,281415
15,313322
16,330651
9,3488
10,14030
11,25711
12,107472
13,195650
14,284393
15,316076
16,336184
9,3374
10,14026
11,25816
12,109569
13,195696
14,279519
15,312551
16,330621
9,3285
10,14055
11,25696
12,109725
13,196372
14,283726
15,311844
16,331427
9,3209
10,14029
11,25713
12,108492
13,197729
14,283932
15,317768
16,334091
9,3373
10,13979
11,25717
12,108117
13,194563
14,283771
15,316778
16,332056
9,3507
10,14006
11,25719
12,110080
13,197766
14,280487
15,312777
16,331177
9,3536
10,14055
11,25840
12,106845
13,197178
14,284955
15,316965
16,336179
9,3403
10,14027
11,25780
12,110401
13,197984
14,281029
15,313327
16,331165
9,3341
10,14027
11,25857
12,106824
13,195635
14,285213
15,315666
16,332317
9,3269
10,14082
11,25809
12,107551
13,195438
14,283946
15,315083
16,331997
