log2_bs,clat,freq
9,3280,1
9,3792,1
9,4256,1
9,5024,1
9,81408,1
9,142336,1
9,144384,1
9,199680,1
9,230400,1
9,248832,2
9,264192,1
9,309248,1
9,333824,1
9,370688,1
9,395264,1
9,407552,1
9,411648,2
9,415744,1
9,419840,1
9,428032,2
9,432128,5
9,436224,8
9,440320,13
9,444416,12
9,448512,23
9,452608,27
9,456704,32
9,460800,63
9,464896,69
9,468992,91
9,473088,110
9,477184,135
9,481280,197
9,485376,216
9,489472,206
9,493568,263
9,497664,309
9,501760,293
9,505856,305
9,509952,353
9,514048,333
9,518144,294
9,522240,322
9,528384,630
9,536576,582
9,544768,594
9,552960,467
9,561152,435
9,569344,411
9,577536,391
9,585728,344
9,593920,376
9,602112,368
9,610304,410
9,618496,385
9,626688,364
9,634880,360
9,643072,378
9,651264,422
9,659456,544
9,667648,720
9,675840,876
9,684032,1020
9,692224,1091
9,700416,1179
9,708608,1108
9,716800,1008
9,724992,824
9,733184,745
9,741376,607
9,749568,582
9,757760,459
9,765952,477
9,774144,396
9,782336,363
9,790528,380
9,798720,344
9,806912,310
9,815104,313
9,823296,325
9,831488,267
9,839680,283
9,847872,250
9,856064,257
9,864256,216
9,872448,247
9,880640,201
9,888832,205
9,897024,203
9,905216,207
9,913408,195
9,921600,168
9,929792,174
9,937984,212
9,946176,175
9,954368,191
9,962560,241
9,970752,213
9,978944,192
9,987136,197
9,995328,213
9,1003520,230
9,1011712,240
9,1019904,235
9,1028096,209
9,1036288,221
9,1044480,247
9,1056768,437
9,1073152,484
9,1089536,533
9,1105920,530
9,1122304,574
9,1138688,542
9,1155072,568
9,1171456,514
9,1187840,590
9,1204224,561
9,1220608,618
9,1236992,587
9,1253376,620
9,1269760,606
9,1286144,587
9,1302528,567
9,1318912,607
9,1335296,622
9,1351680,610
9,1368064,688
9,1384448,641
9,1400832,631
9,1417216,591
9,1433600,635
9,1449984,667
9,1466368,639
9,1482752,713
9,1499136,670
9,1515520,657
9,1531904,656
9,1548288,722
9,1564672,686
9,1581056,697
9,1597440,682
9,1613824,714
9,1630208,711
9,1646592,683
9,1662976,640
9,1679360,653
9,1695744,708
9,1712128,657
9,1728512,635
9,1744896,615
9,1761280,625
9,1777664,633
9,1794048,656
9,1810432,661
9,1826816,693
9,1843200,637
9,1859584,637
9,1875968,688
9,1892352,727
9,1908736,659
9,1925120,696
9,1941504,676
9,1957888,709
9,1974272,713
9,1990656,711
9,2007040,665
9,2023424,680
9,2039808,678
9,2056192,640
9,2072576,717
9,2088960,685
9,2113536,1414
9,2146304,1387
9,2179072,1455
9,2211840,1417
9,2244608,1406
9,2277376,1429
9,2310144,1386
9,2342912,1427
9,2375680,1459
9,2408448,1406
9,2441216,1444
9,2473984,1510
9,2506752,1411
9,2539520,1401
9,2572288,1427
9,2605056,1497
9,2637824,1427
9,2670592,1463
9,2703360,1446
9,2736128,1422
9,2768896,1444
9,2801664,1427
9,2834432,1409
9,2867200,1375
9,2899968,1374
9,2932736,1444
9,2965504,1317
9,2998272,1363
9,3031040,1384
9,3063808,1369
9,3096576,1329
9,3129344,1368
9,3162112,1278
9,3194880,1288
9,3227648,1270
9,3260416,1271
9,3293184,1240
9,3325952,1229
9,3358720,1266
9,3391488,1253
9,3424256,1214
9,3457024,1208
9,3489792,1134
9,3522560,1121
9,3555328,1153
9,3588096,1127
9,3620864,1112
9,3653632,1107
9,3686400,1057
9,3719168,1037
9,3751936,993
9,3784704,979
9,3817472,988
9,3850240,949
9,3883008,949
9,3915776,926
9,3948544,851
9,3981312,885
9,4014080,896
9,4046848,845
9,4079616,789
9,4112384,823
9,4145152,717
9,4177920,770
9,4227072,1411
9,4292608,1358
9,4358144,1259
9,4423680,1217
9,4489216,1121
9,4554752,1105
9,4620288,1063
9,4685824,1052
9,4751360,978
9,4816896,981
9,4882432,879
9,4947968,845
9,5013504,811
9,5079040,754
9,5144576,737
9,5210112,710
9,5275648,680
9,5341184,650
9,5406720,614
9,5472256,595
9,5537792,538
9,5603328,569
9,5668864,495
9,5734400,495
9,5799936,489
9,5865472,454
9,5931008,452
9,5996544,414
9,6062080,386
9,6127616,388
9,6193152,419
9,6258688,357
9,6324224,337
9,6389760,349
9,6455296,283
9,6520832,320
9,6586368,279
9,6651904,292
