log2_bs,bw
9,2417
10,4845
11,9497
12,18530
13,26392
14,51956
15,97677
16,120352
9,2423
10,4845
11,9591
12,18521
13,26400
14,51854
15,97470
16,120675
9,2422
10,4831
11,9568
12,18482
13,26399
14,51859
15,97460
16,120126
9,2417
10,4873
11,9559
12,18654
13,26450
14,51800
15,97442
16,120153
9,2418
10,4864
11,9553
12,18742
13,26403
14,51929
15,97652
16,120790
9,2413
10,4865
11,9526
12,18730
13,26399
14,51778
15,97839
16,120151
9,2420
10,4883
11,9529
12,18777
13,26560
14,51852
15,97534
16,120261
9,2417
10,4878
11,9538
12,18774
13,26402
14,51843
15,97406
16,120801
9,2423
10,4840
11,9573
12,18618
13,26394
14,51865
15,97409
16,120151
9,2414
10,4860
11,9543
12,18704
13,26518
14,52030
15,97292
16,120786
9,2417
10,4875
11,9561
12,18667
13,26448
14,51814
15,97429
16,120691
9,2423
10,4844
11,9550
12,18506
13,26445
14,51909
15,97381
16,120771
9,2414
10,4882
11,9485
12,18758
13,26394
14,52029
15,97818
16,119800
9,2417
10,4866
11,9545
12,18663
13,26397
14,51920
15,97428
16,120298
9,2415
10,4839
11,9547
12,18574
13,26446
14,51798
15,97440
16,120686
9,2417
10,4883
11,9548
12,18803
13,26380
14,51843
15,97399
16,120782
