log2_bs,clat,freq
9,5144,1
9,7503,1
9,7766,1
9,8159,1
9,8847,1
9,9502,1
9,9895,1
9,12648,1
9,13041,1
9,13303,1
9,13434,1
9,13828,1
9,13959,1
9,14876,1
9,15269,1
9,15663,1
9,15925,1
9,16056,1
9,16580,1
9,16908,2
9,17170,3
9,17432,1
9,17694,2
9,18219,2
9,18743,2
9,19791,1
9,20054,1
9,20578,4
9,20840,1
9,21102,1
9,21626,1
9,21889,1
9,22151,2
9,22413,1
9,22675,2
9,22937,3
9,23199,4
9,23461,2
9,23986,2
9,24248,1
9,24510,2
9,24772,1
9,25296,2
9,25821,2
9,26345,1
9,26869,3
9,27131,4
9,27394,1
9,27656,1
9,27918,5
9,28180,3
9,28442,2
9,28704,2
9,28966,1
9,29229,3
9,29491,3
9,29753,1
9,30015,6
9,30277,3
9,30539,4
9,30801,1
9,31064,3
9,31326,1
9,31588,2
9,31850,3
9,32112,4
9,32374,2
9,32636,3
9,32899,4
9,33161,4
9,33423,3
9,33816,8
9,34340,6
9,34865,5
9,35389,7
9,35913,7
9,36438,11
9,36962,13
9,37486,6
9,38010,11
9,38535,7
9,39059,6
9,39583,12
9,40108,5
9,40632,8
9,41156,5
9,41680,10
9,42205,11
9,42729,8
9,43253,10
9,43778,13
9,44302,12
9,44826,7
9,45350,7
9,45875,14
9,46399,11
9,46923,14
9,47448,21
9,47972,20
9,48496,14
9,49020,11
9,49545,13
9,50069,14
9,50593,15
9,51118,6
9,51642,16
9,52166,14
9,52690,10
9,53215,14
9,53739,20
9,54263,18
9,54788,24
9,55312,14
9,55836,17
9,56360,12
9,56885,21
9,57409,19
9,57933,22
9,58458,22
9,58982,24
9,59506,15
9,60030,26
9,60555,22
9,61079,27
9,61603,24
9,62128,20
9,62652,20
9,63176,21
9,63700,25
9,64225,20
9,64749,16
9,65273,20
9,65798,23
9,66322,17
9,66846,26
9,67633,41
9,68681,49
9,69730,46
9,70778,57
9,71827,48
9,72876,59
9,73924,49
9,74973,62
9,76021,61
9,77070,55
9,78118,68
9,79167,52
9,80216,44
9,81264,56
9,82313,54
9,83361,52
9,84410,57
9,85458,60
9,86507,58
9,87556,66
9,88604,57
9,89653,50
9,90701,51
9,91750,55
9,92798,63
9,93847,63
9,94896,61
9,95944,54
9,96993,50
9,98041,52
9,99090,45
9,100139,53
9,101187,46
9,102236,55
9,103284,53
9,104333,62
9,105381,38
9,106430,66
9,107479,46
9,108527,51
9,109576,45
9,110624,49
9,111673,51
9,112721,51
9,113770,42
9,114819,39
9,115867,47
9,116916,47
9,117964,42
9,119013,43
9,120061,39
9,121110,55
9,122159,54
9,123207,52
9,124256,41
9,125304,36
9,126353,45
9,127401,41
9,128450,42
9,129499,39
9,130547,39
9,131596,42
9,132644,37
9,133693,41
9,135266,80
9,137363,68
9,139460,74
9,141557,64
9,143654,69
9,145752,63
9,147849,69
9,149946,60
9,152043,57
9,154140,52
9,156237,55
9,158334,65
9,160432,52
9,162529,42
9,164626,52
9,166723,55
9,168820,48
9,170917,42
9,173015,41
9,175112,37
9,177209,47
9,179306,37
9,181403,34
9,183500,34
9,185597,39
9,187695,29
9,189792,45
9,191889,33
9,193986,32
9,196083,38
9,198180,36
9,200278,27
9,202375,25
9,204472,24
9,206569,30
9,208666,25
9,210763,23
9,212860,21
9,214958,22
9,217055,20
9,219152,19
9,221249,23
9,223346,21
9,225443,23
9,227540,27
9,229638,10
9,231735,17
9,233832,19
9,235929,20
9,238026,21
9,240123,11
9,242221,13
9,244318,18
9,246415,15
9,248512,22
9,250609,11
9,252706,20
9,254803,9
9,256901,16
9,258998,12
9,261095,10
9,263192,12
9,265289,12
9,267386,13
9,270532,23
9,274726,20
9,278921,17
9,283115,14
9,287309,20
9,291504,14
9,295698,9
9,299892,19
9,304087,13
9,308281,18
9,312475,13
9,316669,12
9,320864,8
9,325058,5
9,329252,14
9,333447,13
9,337641,14
9,341835,8
9,346030,10
9,350224,11
9,354418,11
9,358612,7
9,362807,9
9,367001,11
9,371195,10
9,375390,9
9,379584,9
9,383778,6
9,387973,6
9,392167,11
9,396361,10
9,400556,8
9,404750,5
9,408944,6
9,413138,8
9,417333,7
9,421527,1
9,425721,7
9,429916,4
9,434110,4
9,438304,6
9,442499,4
9,446693,1
9,450887,1
9,455081,2
9,459276,2
9,463470,3
9,467664,5
9,471859,3
9,476053,1
9,480247,2
9,484442,4
9,488636,4
9,492830,6
9,497025,3
9,501219,3
9,505413,1
9,509607,2
9,513802,3
9,522190,1
9,530579,3
9,541065,6
9,549453,4
9,557842,5
9,566231,2
9,574619,4
9,583008,2
9,599785,3
9,616562,3
9,633339,2
9,650117,2
9,675282,1
9,683671,1
9,708837,1
9,725614,1
9,734003,1
10,6455,1
10,6717,1
10,6848,1
10,6979,1
10,7241,1
10,9633,1
10,9895,1
10,11075,1
10,11862,1
10,12386,2
10,12779,1
10,13303,1
10,15138,1
10,15794,1
10,15925,1
10,16908,1
10,17170,1
10,19267,2
10,20316,1
10,20578,1
10,20840,1
10,21364,2
10,21626,1
10,21889,3
10,22675,4
10,22937,2
10,23199,1
10,23461,2
10,23724,1
10,23986,2
10,24248,1
10,24510,2
10,24772,2
10,25296,4
10,25559,2
10,25821,3
10,26083,2
10,26345,2
10,26607,2
10,26869,2
10,27131,2
10,27394,1
10,27656,2
10,27918,3
10,28180,3
10,28442,2
10,28704,2
10,28966,3
10,29229,1
10,29491,1
10,29753,2
10,30015,1
10,30277,1
10,30539,4
10,30801,2
10,31064,4
10,31326,2
10,31588,1
10,31850,2
10,32112,2
10,32374,3
10,32636,2
10,32899,2
10,33161,4
10,33423,3
10,33816,10
10,34340,7
10,34865,4
10,35389,6
10,35913,8
10,36438,7
10,36962,10
10,37486,10
10,38010,11
10,38535,10
10,39059,12
10,39583,13
10,40108,14
10,40632,6
10,41156,13
10,41680,9
10,42205,13
10,42729,10
10,43253,12
10,43778,8
10,44302,16
10,44826,11
10,45350,17
10,45875,9
10,46399,8
10,46923,15
10,47448,17
10,47972,17
10,48496,12
10,49020,16
10,49545,15
10,50069,11
10,50593,16
10,51118,12
10,51642,14
10,52166,13
10,52690,25
