log2_bs,bw
9,113
10,232
11,437
12,917
13,1710
14,3160
15,5756
16,12161
9,115
10,232
11,439
12,915
13,1676
14,3136
15,5686
16,12194
9,114
10,228
11,445
12,911
13,1686
14,3119
15,5538
16,12016
9,113
10,231
11,438
12,912
13,1676
14,3165
15,5716
16,12101
9,114
10,231
11,438
12,908
13,1702
14,3114
15,5581
16,12086
9,115
10,227
11,441
12,913
13,1679
14,3082
15,5681
16,11992
9,114
10,229
11,437
12,915
13,1692
14,3125
15,5521
16,11802
9,116
10,231
11,443
12,920
13,1688
14,3140
15,5518
16,12010
9,114
10,232
11,440
12,903
13,1700
14,3169
15,5783
16,12298
9,113
10,227
11,433
12,910
13,1694
14,3124
15,5607
16,12075
9,114
10,233
11,438
12,906
13,1664
14,3105
15,5710
16,12016
9,113
10,232
11,436
12,913
13,1709
14,3142
15,5801
16,12401
9,115
10,234
11,439
12,909
13,1691
14,3167
15,5610
16,12101
9,114
10,227
11,440
12,913
13,1682
14,3175
15,5554
16,12209
9,115
10,232
11,441
12,908
13,1702
14,3128
15,5642
16,12140
9,113
10,227
11,439
12,906
13,1696
14,3153
15,5569
16,11993
