log2_bs,clat,freq
9,4489216,1
9,5341184,1
9,5472256,1
9,5668864,1
9,6979584,1
9,8454144,1
9,9764864,1
9,12910592,1
9,13041664,2
9,13828096,1
9,14090240,1
9,14221312,1
9,14614528,1
9,14745600,1
9,15269888,1
9,15663104,1
9,16056320,3
9,16449536,1
9,16580608,1
9,16711680,2
9,16908288,1
9,17432576,1
9,17694720,1
9,18219008,1
9,18481152,4
9,18743296,1
9,19005440,3
9,19267584,1
9,19791872,1
9,20054016,1
9,20578304,1
9,21364736,2
9,21626880,1
9,21889024,1
9,22151168,1
9,22937600,2
9,23199744,1
9,23461888,1
9,23986176,1
9,24510464,2
9,25034752,1
9,25296896,2
9,25559040,1
9,25821184,2
9,26083328,2
9,26607616,3
9,26869760,2
9,27131904,2
9,27394048,3
9,27656192,3
9,27918336,2
9,28442624,3
9,28704768,2
9,29229056,2
9,29491200,3
9,29753344,2
9,30015488,4
9,30277632,2
9,30539776,4
9,31326208,6
9,31588352,2
9,31850496,4
9,32112640,4
9,32636928,1
9,32899072,1
9,33161216,3
9,33423360,2
9,33816576,5
9,34340864,6
9,34865152,7
9,35389440,7
9,35913728,9
9,36438016,6
9,36962304,6
9,37486592,9
9,38010880,7
9,38535168,8
9,39059456,7
9,39583744,6
9,40108032,4
9,40632320,11
9,41156608,9
9,41680896,7
9,42205184,9
9,42729472,13
9,43253760,9
9,43778048,8
9,44302336,14
9,44826624,11
9,45350912,14
9,45875200,10
9,46399488,16
9,46923776,10
9,47448064,9
9,47972352,11
9,48496640,12
9,49020928,16
9,49545216,12
9,50069504,13
9,50593792,14
9,51118080,8
9,51642368,12
9,52166656,13
9,52690944,17
9,53215232,18
9,53739520,14
9,54263808,13
9,54788096,17
9,55312384,13
9,55836672,17
9,56360960,19
9,56885248,11
9,57409536,18
9,57933824,16
9,58458112,16
9,58982400,13
9,59506688,19
9,60030976,20
9,60555264,10
9,61079552,18
9,61603840,22
9,62128128,22
9,62652416,15
9,63176704,18
9,63700992,18
9,64225280,19
9,64749568,22
9,65273856,24
9,65798144,23
9,66322432,17
9,66846720,25
9,67633152,45
9,68681728,56
9,69730304,51
9,70778880,53
9,71827456,52
9,72876032,58
9,73924608,56
9,74973184,67
9,76021760,51
9,77070336,60
