log2_bs,bw
9,5996
10,6415
11,7786
12,15984
13,45681
14,69931
15,113605
16,139781
9,1600
10,3479
11,7664
12,27863
13,42511
14,77880
15,127331
16,126542
9,1526
10,3658
11,9237
12,23905
13,48755
14,70270
15,125095
16,122399
9,1604
10,3474
11,9931
12,18231
13,38583
14,79790
15,129589
16,129396
9,1507
10,4934
11,11153
12,30281
13,34090
14,68601
15,114656
16,122221
9,1675
10,3454
11,13494
12,16500
13,31837
14,73230
15,125557
16,106739
9,1505
10,6985
11,8594
12,14862
13,37408
14,75251
15,128772
16,128599
9,2039
10,4223
11,7586
12,29043
13,46153
14,69809
15,117920
16,107849
9,1507
10,3680
11,11846
12,14214
13,36553
14,86196
15,123695
16,138324
9,1507
10,5540
11,8572
12,15762
13,49463
14,76493
15,109202
16,122572
9,1603
10,3470
11,7795
12,22995
13,41723
14,70251
15,118581
16,139172
9,1507
10,4455
11,8617
12,20496
13,30255
14,78200
15,111443
16,125957
9,1503
10,3681
11,12280
12,30907
13,30197
14,68661
15,119251
16,119143
9,1601
10,3487
11,17219
12,16555
13,31872
14,81645
15,129798
16,111423
9,1608
10,4326
11,9237
12,16025
13,33033
14,75354
15,116766
16,107562
9,1516
10,4266
11,15367
12,15634
13,42183
14,69355
15,108485
16,134155
