log2_bs,clat,freq
9,11075,1
9,12648,1
9,13959,1
9,14483,1
9,14745,1
9,15663,1
9,15794,1
9,16449,1
9,16580,2
9,16711,1
9,16908,3
9,17170,3
9,17432,3
9,17694,4
9,17956,1
9,18219,10
9,18481,8
9,18743,1
9,19005,16
9,19267,11
9,19529,5
9,19791,4
9,20054,5
9,20316,10
9,20578,8
9,20840,3
9,21102,9
9,21364,11
9,21626,5
9,21889,25
9,22151,19
9,22413,7
9,22675,4
9,22937,12
9,23199,15
9,23461,17
9,23724,24
9,23986,16
9,24248,13
9,24510,13
9,24772,21
9,25034,16
9,25296,22
9,25559,17
9,25821,12
9,26083,26
9,26345,17
9,26607,19
9,26869,21
9,27131,28
9,27394,35
9,27656,27
9,27918,40
9,28180,28
9,28442,31
9,28704,30
9,28966,42
9,29229,53
9,29491,54
9,29753,31
9,30015,57
9,30277,49
9,30539,43
9,30801,41
9,31064,37
9,31326,25
9,31588,50
9,31850,54
9,32112,70
9,32374,50
9,32636,51
9,32899,54
9,33161,43
9,33423,47
9,33816,113
9,34340,128
9,34865,132
9,35389,128
9,35913,141
9,36438,132
9,36962,112
9,37486,125
9,38010,131
9,38535,120
9,39059,138
9,39583,114
9,40108,123
9,40632,105
9,41156,125
9,41680,125
9,42205,127
9,42729,151
9,43253,125
9,43778,109
9,44302,162
9,44826,143
9,45350,168
9,45875,165
9,46399,178
9,46923,114
9,47448,144
9,47972,158
9,48496,179
9,49020,138
9,49545,170
9,50069,126
9,50593,137
9,51118,183
9,51642,135
9,52166,148
9,52690,127
9,53215,125
9,53739,106
9,54263,152
9,54788,156
9,55312,137
9,55836,154
9,56360,130
9,56885,154
9,57409,110
9,57933,125
9,58458,177
9,58982,94
9,59506,130
9,60030,148
9,60555,144
9,61079,117
9,61603,126
9,62128,114
9,62652,122
9,63176,141
9,63700,98
9,64225,117
9,64749,116
9,65273,116
9,65798,102
9,66322,117
9,66846,90
9,67633,187
9,68681,213
9,69730,208
9,70778,228
9,71827,194
9,72876,210
9,73924,133
9,74973,132
9,76021,154
9,77070,150
9,78118,164
9,79167,142
9,80216,180
9,81264,123
9,82313,151
9,83361,149
9,84410,111
9,85458,88
9,86507,68
9,87556,113
9,88604,93
9,89653,83
9,90701,100
9,91750,53
9,92798,72
9,93847,65
9,94896,58
9,95944,53
9,96993,66
9,98041,24
9,99090,68
9,100139,47
9,101187,60
9,102236,44
9,103284,45
9,104333,29
9,105381,54
9,106430,23
9,107479,27
9,108527,17
9,109576,43
9,110624,35
9,111673,30
9,112721,50
9,113770,20
9,114819,32
9,115867,35
9,116916,13
9,117964,25
9,119013,23
9,120061,16
9,121110,20
9,122159,9
9,123207,7
9,124256,20
9,125304,9
9,126353,13
9,127401,23
9,128450,28
