log2_bs,bw
9,237
10,408
11,891
12,1856
13,3374
14,6286
15,10436
16,19637
9,252
10,465
11,952
12,1755
13,3253
14,6329
15,9817
16,20559
9,245
10,477
11,850
12,1721
13,3213
14,6023
15,10063
16,20786
9,223
10,467
11,776
12,1784
13,3587
14,6443
15,10000
16,20977
9,234
10,440
11,825
12,1779
13,3295
14,6161
15,10460
16,20931
9,230
10,394
11,879
12,1784
13,3510
14,6170
15,9774
16,20940
9,228
10,429
11,863
12,1825
13,3559
14,6421
15,9831
16,19526
9,260
10,393
11,874
12,1860
13,3553
14,6178
15,9814
16,20945
9,217
10,482
11,835
12,1791
13,3362
14,6272
15,9790
16,20845
9,256
10,475
11,813
12,1929
13,3429
14,6221
15,9902
16,20413
9,242
10,416
11,792
12,1668
13,3260
14,6197
15,10656
16,20843
9,240
10,523
11,880
12,1749
13,3248
14,6757
15,10249
16,20094
9,209
10,598
11,800
12,1850
13,3327
14,6422
15,9722
16,21271
9,245
10,469
11,864
12,1819
13,3278
14,6167
15,9943
16,20044
9,264
10,463
11,885
12,1711
13,3085
14,6268
15,10320
16,20620
9,229
10,420
11,864
12,1908
13,3721
14,6470
15,10168
16,20299
