log2_bs,clat,freq
9,9240576,1
9,9371648,1
9,10944512,1
9,11206656,1
9,12517376,2
9,12648448,1
9,12779520,1
9,13172736,1
9,13828096,2
9,14614528,1
9,14745600,3
9,14876672,1
9,15400960,2
9,15532032,3
9,15663104,1
9,15925248,1
9,16187392,1
9,16318464,1
9,16449536,2
9,16580608,1
9,16908288,5
9,17170432,2
9,17432576,1
9,17694720,1
9,17956864,6
9,18219008,4
9,18481152,2
9,18743296,11
9,19005440,8
9,19267584,14
9,19529728,5
9,19791872,3
9,20054016,3
9,20316160,9
9,20578304,20
9,20840448,14
9,21102592,3
9,21364736,11
9,21626880,7
9,21889024,10
9,22151168,7
9,22413312,14
9,22675456,21
9,22937600,12
9,23199744,6
9,23461888,27
9,23724032,16
9,23986176,18
9,24248320,19
9,24510464,27
9,24772608,8
9,25034752,14
9,25296896,27
9,25559040,17
9,25821184,12
9,26083328,18
9,26345472,16
9,26607616,18
9,26869760,24
9,27131904,20
9,27394048,46
9,27656192,19
9,27918336,22
9,28180480,34
9,28442624,31
9,28704768,29
9,28966912,23
9,29229056,51
9,29491200,15
9,29753344,21
9,30015488,26
9,30277632,32
9,30539776,48
9,30801920,31
9,31064064,26
9,31326208,36
9,31588352,20
9,31850496,27
9,32112640,38
9,32374784,33
9,32636928,34
9,32899072,22
9,33161216,28
9,33423360,38
9,33816576,76
9,34340864,82
9,34865152,92
9,35389440,75
9,35913728,92
9,36438016,87
9,36962304,83
9,37486592,100
9,38010880,105
9,38535168,125
9,39059456,126
9,39583744,119
9,40108032,105
9,40632320,110
9,41156608,95
9,41680896,102
9,42205184,109
9,42729472,118
9,43253760,127
9,43778048,112
9,44302336,99
9,44826624,80
9,45350912,109
9,45875200,99
9,46399488,140
9,46923776,122
9,47448064,153
9,47972352,103
9,48496640,113
9,49020928,121
9,49545216,122
9,50069504,152
9,50593792,126
9,51118080,114
9,51642368,139
9,52166656,118
9,52690944,141
9,53215232,109
9,53739520,162
9,54263808,111
9,54788096,89
9,55312384,116
9,55836672,121
9,56360960,131
9,56885248,115
9,57409536,125
9,57933824,122
9,58458112,123
9,58982400,80
9,59506688,113
9,60030976,86
9,60555264,101
9,61079552,100
9,61603840,123
9,62128128,126
9,62652416,114
9,63176704,100
9,63700992,121
9,64225280,103
9,64749568,88
9,65273856,82
9,65798144,114
9,66322432,99
9,66846720,103
9,67633152,238
9,68681728,197
9,69730304,165
9,70778880,193
9,71827456,172
9,72876032,148
9,73924608,165
9,74973184,153
9,76021760,160
9,77070336,152
9,78118912,159
9,79167488,171
9,80216064,122
9,81264640,150
9,82313216,171
9,83361792,134
9,84410368,115
9,85458944,115
9,86507520,144
9,87556096,109
9,88604672,124
9,89653248,96
9,90701824,99
9,91750400,87
9,92798976,106
9,93847552,88
9,94896128,89
9,95944704,102
9,96993280,81
9,98041856,46
9,99090432,77
9,100139008,86
9,101187584,67
9,102236160,75
9,103284736,63
9,104333312,76
9,105381888,64
9,106430464,54
9,107479040,34
9,108527616,32
9,109576192,51
9,110624768,49
9,111673344,54
9,112721920,53
9,113770496,29
9,114819072,38
9,115867648,25
9,116916224,36
9,117964800,30
9,119013376,32
9,120061952,44
9,121110528,42
9,122159104,47
9,123207680,29
9,124256256,21
9,125304832,20
9,126353408,16
9,127401984,26
9,128450560,16
9,129499136,19
9,130547712,15
9,131596288,15
9,132644864,21
9,133693440,15
9,135266304,50
9,137363456,43
9,139460608,39
9,141557760,17
9,143654912,33
9,145752064,24
9,147849216,25
9,149946368,16
9,152043520,20
9,154140672,4
9,156237824,13
9,158334976,10
9,160432128,17
9,162529280,13
9,164626432,14
9,166723584,13
9,168820736,12
9,170917888,1
9,173015040,9
9,175112192,6
9,177209344,1
9,179306496,7
9,181403648,7
9,183500800,3
9,185597952,2
9,187695104,13
9,189792256,7
9,191889408,8
9,193986560,2
9,196083712,3
9,198180864,1
9,200278016,1
9,202375168,1
9,206569472,6
9,208666624,1
9,210763776,4
9,212860928,4
9,219152384,1
9,223346688,6
9,227540992,3
9,229638144,1
9,231735296,3
9,233832448,2
9,244318208,9
9,246415360,1
9,248512512,1
9,252706816,2
9,258998272,3
9,263192576,3
9,283115520,1
9,308281344,2
9,316669952,1
9,400556032,3
9,446693376,5
9,534773760,3
9,566231040,2
9,591396864,6
10,5079040,1
10,6782976,1
10,6848512,2
10,7176192,1
10,7241728,1
10,8585216,2
10,9502720,4
10,10551296,1
10,11206656,1
10,11730944,1
10,11993088,1
10,13697024,1
10,13828096,1
10,14090240,2
10,14221312,3
10,14745600,1
10,15007744,2
10,15532032,1
10,16908288,1
10,17170432,1
10,17432576,2
10,17694720,1
10,18219008,2
10,18481152,1
10,18743296,2
10,19005440,1
10,19267584,3
10,19529728,2
10,19791872,8
10,20054016,3
10,20578304,3
10,20840448,1
10,21102592,7
10,21364736,2
10,21626880,3
10,21889024,5
10,22151168,3
10,22413312,5
10,22675456,5
10,23199744,4
10,23461888,1
10,23724032,2
10,23986176,4
10,24248320,6
10,24772608,4
10,25034752,5
10,25296896,2
10,25559040,5
10,25821184,9
10,26083328,6
10,26345472,8
10,26607616,5
10,26869760,9
10,27131904,9
10,27394048,5
10,27656192,13
10,27918336,7
10,28180480,6
10,28442624,12
10,28704768,9
10,28966912,6
10,29229056,6
10,29491200,6
10,29753344,18
10,30015488,10
10,30277632,8
10,30539776,13
10,30801920,13
10,31064064,14
10,31326208,9
10,31588352,6
10,31850496,11
10,32112640,11
10,32374784,10
10,32636928,20
10,32899072,11
10,33161216,14
10,33423360,12
10,33816576,36
10,34340864,46
10,34865152,44
10,35389440,59
10,35913728,43
10,36438016,53
10,36962304,50
10,37486592,54
10,38010880,55
10,38535168,71
10,39059456,65
10,39583744,55
10,40108032,61
10,40632320,95
10,41156608,73
10,41680896,63
10,42205184,56
10,42729472,75
10,43253760,66
10,43778048,90
10,44302336,92
10,44826624,79
10,45350912,64
10,45875200,85
10,46399488,83
10,46923776,87
10,47448064,90
10,47972352,110
10,48496640,69
10,49020928,88
10,49545216,109
10,50069504,74
10,50593792,89
10,51118080,116
10,51642368,94
10,52166656,111
10,52690944,98
10,53215232,80
10,53739520,103
10,54263808,118
10,54788096,123
10,55312384,92
10,55836672,112
10,56360960,103
10,56885248,102
10,57409536,95
10,57933824,112
10,58458112,96
10,58982400,129
10,59506688,141
10,60030976,102
10,60555264,113
10,61079552,104
10,61603840,86
10,62128128,126
10,62652416,122
10,63176704,142
10,63700992,133
10,64225280,139
10,64749568,88
10,65273856,117
10,65798144,118
10,66322432,77
10,66846720,121
10,67633152,219
10,68681728,259
10,69730304,228
10,70778880,171
10,71827456,186
10,72876032,138
10,73924608,181
10,74973184,171
10,76021760,149
10,77070336,178
10,78118912,164
10,79167488,139
10,80216064,188
10,81264640,107
10,82313216,144
10,83361792,82
10,84410368,93
10,85458944,140
10,86507520,135
10,87556096,107
10,88604672,113
10,89653248,118
10,90701824,84
10,91750400,124
